BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
life,regular fit regular length denim womens jeans - olive,"['26', '28', '30', '32', '34', '36']",1999.0,999.0,0.5,Westernwear
rare,solid polyester round neck womens a-line dress - navy,"['Large', 'Medium', 'Small', 'X-Large']",1499.0,674.0,0.55,Westernwear
zink london,solid polyester v neck womens top - yellow,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",1399.0,839.0,0.4,Westernwear
life,printed cotton blend collar neck womens t-shirt - red,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",999.0,499.0,0.5,Westernwear
madame,printed polyester blend square neck womens dress - green,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",2699.0,1619.0,0.4,Westernwear
zink london,solid polyester scoop neck womens bodycon dress - baby pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",2499.0,1499.0,0.4,Westernwear
rare,floral polyester v neck womens flared dress - blue,"['Large', 'Medium', 'Small', 'X-Large']",2099.0,944.0,0.55,Westernwear
fratini,solid round neck viscose womens regular dress - black,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1499.0,749.0,0.5,Westernwear
iti,solid georgette collar neck womens top - olive,"['Small', 'X-Small']",1499.0,399.0,0.73,Westernwear
rare,solid comfort fit polyester womens casual wear trousers - black,"['Large', 'Medium', 'Small', 'X-Large']",1599.0,719.0,0.55,Westernwear
cover story,regular fit polyester womens casual trousers - pink,"['26', '28', '30', '32', '34']",2590.0,1813.0,0.3,Westernwear
zink london,printed v neck polyester womens a-line dress - green,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",2299.0,1149.0,0.5,Westernwear
and,polka dots boat neck viscose womens regular dresses - pink,"['8', '10', '12', '14', '16', '18']",2899.0,2319.0,0.2,Westernwear
van heusen,solid cotton v neck womens formal shirt - green,"['Large', 'Medium', 'Small']",1999.0,799.0,0.6,Westernwear
life,printed cotton lycra round neck womens t-shirt - yellow,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
life,solid cotton blend round neck womens t-shirt - pink,"['Large', 'Medium', 'Small', 'X-Large']",899.0,449.0,0.5,Westernwear
faballey,printed georgette round neck womens regular dress - pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",2800.0,2240.0,0.2,Westernwear
rare,floral polyester v neck womens flared dress - natural,"['Large', 'Medium', 'Small']",2099.0,944.0,0.55,Westernwear
rare,solid polyester round neck womens a-line dress - red,"['Large', 'Medium', 'Small', 'X-Large']",1999.0,799.0,0.6,Westernwear
rare,solid georgette round neck womens top - maroon,"['Large', 'Small', 'X-Large']",1399.0,559.0,0.6,Westernwear
stop,printed viscose regular neck womens top - white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",999.0,499.0,0.5,Westernwear
fratini,printed viscose collar neck womens a-line dress - black,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1599.0,799.0,0.5,Westernwear
life,solid cotton lycra round neck womens t-shirt - off white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
life,printed jersey round neck womens t-shirt - lilac,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",599.0,299.0,0.5,Westernwear
only,checks cotton womens top - white,"['34', '36', '38', '40', '42']",1999.0,1399.0,0.3,Westernwear
life,regular fit regular length cotton lycra womens jeans - white,"['26', '28', '30', '32', '34', '36']",1299.0,649.0,0.5,Westernwear
van heusen,solid polyester collar neck womens top - black,"['Small', 'X-Small']",1699.0,999.0,0.41,Westernwear
fratini,solid polyester round neck womens a-line dress - aubergine,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1599.0,799.0,0.5,Westernwear
life,printed cotton lycra round neck womens t-shirt - pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
fratini,solid round neck viscose womens regular dress - tan,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1499.0,749.0,0.5,Westernwear
kraus,super skinny fit ankle length cotton blend womens jeans - blue,"['28', '30', '32', '34', '36', '38']",1995.0,1396.0,0.3,Westernwear
life,checks cotton blend collar neck womens regular top - sage,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1299.0,649.0,0.5,Westernwear
life,embroidered cotton blend round neck womens top - blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1299.0,649.0,0.5,Westernwear
rare,solid polyester blend boat neck womens flared dress - black,"['Large', 'Medium', 'Small', 'X-Large']",1699.0,764.0,0.55,Westernwear
and,solid polyester square neck womens flared dress - sage,"['10', '12', '14', '16', '18']",2699.0,2159.0,0.2,Westernwear
life,solid cotton blend round neck womens t-shirt - natural,"['Large', 'Medium', 'X-Large', 'X-Small']",899.0,449.0,0.5,Westernwear
kraus,wide leg fit ankle length cotton womens jeans - blue,"['28', '30', '32']",1695.0,1525.0,0.1,Westernwear
life,printed jersey round neck womens t-shirt - red,"['Large', 'Medium', 'Small', 'X-Small']",699.0,349.0,0.5,Westernwear
fratini,solid square neck polyester womens woven top - natural,"['Large', 'Medium', 'X-Large', 'XX-Large']",999.0,499.0,0.5,Westernwear
fratini,solid v-neck tencel womens a-line dress - light blue,"['Large', 'Small']",1699.0,849.0,0.5,Westernwear
zink london,printed cotton round neck womens t-shirt - brown,['X-Large'],1299.0,399.0,0.69,Westernwear
life,regular fit regular length cotton lycra womens jeans - mid stone,"['26', '28', '30', '32']",999.0,499.0,0.5,Westernwear
zink london,textured polyester round neck womens straight top - natural,"['Large', 'Small', 'X-Small']",1399.0,839.0,0.4,Westernwear
allen solly,printed stylized polyester womens fit and flare dress - grey,"['Large', 'Medium', 'Small', 'X-Large']",2499.0,1499.0,0.4,Westernwear
stop,solid polyester regular neck womens top - sage,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1299.0,649.0,0.5,Westernwear
only,lace cotton collar neck womens top - red,"['34', '36', '38', '40', '42']",2499.0,1499.0,0.4,Westernwear
fratini,regular fit regular length cotton blend womens jeans - white,"['28', '30', '32', '34', '36']",1299.0,649.0,0.5,Westernwear
fratini,printed square neck polyester womens regular dress - pink,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1699.0,849.0,0.5,Westernwear
van heusen,solid polyester v neck womens shirt - white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1699.0,999.0,0.41,Westernwear
only,self design viscose square neck womens top - white,"['34', '36', '38', '40', '42']",2299.0,1379.0,0.4,Westernwear
life,printed blended round neck womens shift dress - navy,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1499.0,749.0,0.5,Westernwear
zink london,solid collar neck polyester womens casual shirt - green,"['Medium', 'Small', 'XX-Large']",1699.0,849.0,0.5,Westernwear
life,printed cotton lycra round neck womens t-shirt - sage,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
faballey,embroidered cotton square neck womens regular dress - white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",2600.0,2080.0,0.2,Westernwear
life,printed cotton blend round neck womens t-shirt - black,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",999.0,499.0,0.5,Westernwear
infuse,floral rayon v neck womens strappy dress - pista green,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",1499.0,749.0,0.5,Westernwear
kraus,baggy fit ankle length cotton womens jeans - light blue,"['28', '30', '32', '34']",1595.0,1116.0,0.3,Westernwear
life,printed cotton lycra round neck womens t-shirt - blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
fratini,solid polyester blend round neck womens a-line dress - pink,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1899.0,949.0,0.5,Westernwear
madame,solid polyester v neck womens top - blush,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1699.0,1189.0,0.3,Westernwear
kraus,super skinny fit ankle length cotton blend womens jeans - dark blue,"['28', '30', '32', '34', '36', '38']",1895.0,947.0,0.5,Westernwear
kraus,skinny fit full length cotton blend womens jeans - navy,"['28', '30', '32', '36']",1895.0,947.0,0.5,Westernwear
stop,printed regular neck cotton womens formal shirt - white,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",899.0,449.0,0.5,Westernwear
life,regular fit regular length denim womens jeans - pink,"['26', '28', '30', '32', '34', '36']",1999.0,999.0,0.5,Westernwear
zink london,printed cotton collar neck womens dress - blue,"['Large', 'Medium', 'Small', 'X-Small', 'XX-Large']",2899.0,1739.0,0.4,Westernwear
life,skinny fit regular length cotton lycra womens jeans - black,"['26', '28', '30', '32', '34', '36']",999.0,499.0,0.5,Westernwear
stop,solid regular neck cotton blend womens formal shirt - powder blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",899.0,449.0,0.5,Westernwear
altlife,solid polyester blend ankle length womens tights - misty lilac,"['28', '30', '32', '34', '36']",1299.0,649.0,0.5,Westernwear
life,solid cotton wide neck womens a-line dress - powder blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1699.0,849.0,0.5,Westernwear
allen solly,printed v-neck viscose womens fit and flare dress - black,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",2499.0,1499.0,0.4,Westernwear
stop,solid regular fit polyester womens formal pants - black,"['28', '30', '34', '36']",1699.0,849.0,0.5,Westernwear
and,solid polyester v neck womens regular dress - wine,"['8', '18']",2899.0,2319.0,0.2,Westernwear
rare,floral polyester off shoulder womens regular top - blue,"['Large', 'Small']",999.0,499.0,0.5,Westernwear
zink london,stripes cotton round neck womens straight top - multi,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1399.0,699.0,0.5,Westernwear
life,fit above knee denim womens casual skirt - black,"['26', '28', '30', '32', '34', '36']",1299.0,649.0,0.5,Westernwear
fratini,printed polyester round neck womens a-line dress - yellow,"['Error Size', 'Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1999.0,999.0,0.5,Westernwear
rare,floral polyester round neck womens flared dress - black,"['Large', 'Medium', 'Small', 'X-Large']",1999.0,899.0,0.55,Westernwear
latin quarters,solid polyester womens regular blouse - wine,"['S', 'M', 'L', 'XL']",1899.0,949.0,0.5,Westernwear
fratini,printed polyester blend round neck womens regular top - yellow,"['Medium', 'Small']",999.0,499.0,0.5,Westernwear
zink london,embroidered viscose mandarin womens top - blue,"['Large', 'Medium', 'Small', 'X-Small', 'XX-Large']",2199.0,1319.0,0.4,Westernwear
stop,solid regular neck cotton stretch womens formal shirt - bottle green,"['Large', 'Small', 'X-Large', 'XX-Large']",999.0,499.0,0.5,Westernwear
rare,half sleeves regular fit womens casual dress - navy,"['Large', 'Medium', 'Small', 'X-Large']",1999.0,899.0,0.55,Westernwear
latin quarters,printed polyester womens regular dress - red,"['S', 'M', 'L', 'XL', 'XX-Large']",2799.0,1959.0,0.3,Westernwear
zink london,solid polyester round neck womens top - navy,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",1499.0,899.0,0.4,Westernwear
stop,solid collar neck cotton blend womens regular top - peach,"['Large', 'X-Large', 'XX-Large']",999.0,499.0,0.5,Westernwear
cover story,solid viscose collar neck womens top - peach,"['Small', 'X-Small']",2290.0,1603.0,0.3,Westernwear
stop,printed regular neck cotton womens formal shirt - black,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",799.0,399.0,0.5,Westernwear
zink london,printed cotton round neck womens t-shirt - green,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",799.0,479.0,0.4,Westernwear
zink london,floral rayon collar neck womens casual shirt - yellow,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",1599.0,799.0,0.5,Westernwear
rare,floral georgette round neck womens flared dress - grey,"['Large', 'Medium', 'Small']",1899.0,854.0,0.55,Westernwear
van heusen,super slim fit regular cotton womens jeans - navy,"['28', '32', '34']",2199.0,999.0,0.55,Westernwear
life,printed cotton lycra round neck womens t-shirt - blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
rare,solid polyester blend round neck womens a-line dress - black,"['Small', 'X-Large']",1699.0,764.0,0.55,Westernwear
life,striped cotton blend collar neck womens t-shirt - blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",799.0,399.0,0.5,Westernwear
van heusen,textured polyester blend regular fit womens trousers - maroon,"['26', '34']",2199.0,999.0,0.55,Westernwear
madame,solid cotton round neck womens regular top - off white,"['Large', 'Medium', 'Small', 'X-Large']",1199.0,599.0,0.5,Westernwear
life,regular fit regular length cotton lycra womens jeans - black,"['26', '28', '30', '32', '34', '36']",1299.0,649.0,0.5,Westernwear
van heusen,solid polyester collar neck womens formal shirt - off white,['X-Small'],1699.0,999.0,0.41,Westernwear
rare,floral polyester round neck womens regular top - multi,"['Large', 'Medium', 'Small', 'X-Large']",1299.0,584.0,0.55,Westernwear
life,solid polyester blend round neck womens t-shirt - black,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",999.0,499.0,0.5,Westernwear
only,stripes polyester round neck womens t-shirt - blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1799.0,1079.0,0.4,Westernwear
infuse,graphic cotton round neck womens regular fit t-shirt - yellow,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",499.0,199.0,0.6,Westernwear
and,solid boat neck polyester womens straight dresses - multi,"['6', '8', '10', '12', '14', '16']",2499.0,1999.0,0.2,Westernwear
rare,stripes polyester round neck womens regular top - navy,"['Large', 'Medium', 'Small', 'X-Large']",1199.0,539.0,0.55,Westernwear
life,solid polyester blend round neck womens t-shirt - dusty pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",999.0,499.0,0.5,Westernwear
van heusen,solid polyester blend regular fit womens trousers - pink,['26'],1499.0,799.0,0.47,Westernwear
zink london,solid polyester round neck womens top - white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",1599.0,959.0,0.4,Westernwear
fratini,printed v-neck viscose womens woven top - pink,"['Small', 'XX-Large']",999.0,499.0,0.5,Westernwear
life,regular fit regular length denim womens jeans - charcoal,"['26', '28', '30', '32', '34', '36']",1999.0,999.0,0.5,Westernwear
fratini,solid square neck polyester womens woven top - olive,"['Large', 'Medium', 'X-Large', 'XX-Large']",999.0,499.0,0.5,Westernwear
kraus,wide leg fit ankle length cotton womens jeans - dark blue,"['28', '30', '32', '34', '36']",1795.0,1256.0,0.3,Westernwear
madame,solid cotton round neck womens regular top - mauve,"['Large', 'Medium', 'X-Large']",1499.0,899.0,0.4,Westernwear
life,printed viscose collar neck womens shirt - white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",899.0,449.0,0.5,Westernwear
life,printed jersey round neck womens t-shirt - off white,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
life,regular fit regular length cotton blend womens joggers - blue,"['26', '28', '30', '32', '34', '36']",1299.0,649.0,0.5,Westernwear
kraus,baggy fit ankle length cotton womens jeans - blue,"['28', '30', '32', '34']",1695.0,847.0,0.5,Westernwear
zink london,printed polyester boat neck womens top - navy,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",1799.0,1079.0,0.4,Westernwear
life,embroidered viscose blend round neck womens t-shirt - pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",899.0,449.0,0.5,Westernwear
fratini,printed viscose collar neck womens a-line dress - yellow,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1599.0,799.0,0.5,Westernwear
faballey,floral georgette round neck womens dress - blue,"['Small', 'X-Small']",2400.0,1920.0,0.2,Westernwear
rare,solid polyester choker neck womens regular top - black,"['Large', 'Medium', 'Small', 'X-Large']",1299.0,584.0,0.55,Westernwear
rare,floral polyester round neck womens regular top - multi,"['Large', 'Medium', 'Small', 'X-Large']",1399.0,559.0,0.6,Westernwear
life,regular fit regular length cotton lycra womens jeans - black,"['26', '28', '30', '32', '34']",999.0,499.0,0.5,Westernwear
zink london,solid cotton round neck womens top - lavender,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",1899.0,1139.0,0.4,Westernwear
zink london,checks round neck cotton womens a-line dress - multi,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",2799.0,1399.0,0.5,Westernwear
stop,solid regular neck cotton blend womens formal shirt - pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",899.0,449.0,0.5,Westernwear
